gene id,gene name,mcf7_sicbx2_3_rep1,mcf7_sicbx2_3_rep2,mcf7_sicbx2_3_rep3,mcf7_siscr_rep1,mcf7_siscr_rep2,mcf7_siscr_rep3
ENSG00000187720.14,THSD4,10.4031517,13.68937085,16.035995,29.1922819,29.3050011,24.3321285
ENSG00000187736.12,NHEJ1,4.7162636,5.692155,4.487672,9.525392,9.855866,7.548518
ENSG00000187741.15,FANCA,19.38743087,23.29439082,20.530076,48.3749689,54.24258,45.868222
ENSG00000187742.14,SECISBP2,82.625246,89.08606,61.799301,43.678449,36.200236,42.3769398
ENSG00000187790.11,FANCM,2.718128,2.8783547,1.999812,6.548833,5.233259,4.532688
ENSG00000187792.5,ZNF70,1.13132,0.952844,1.35716,0.658284,0.544505,0.688868
ENSG00000187796.14,CARD9,4.181711,5.0519908,4.377347,1.1145663,2.2727426,2.008891
ENSG00000187837.3,HIST1H1C,116.141,132.355,186.07,31.7164,39.5452,49.6205
ENSG00000187838.17,PLSCR3,25.287315,28.068665,29.16219533,10.3310093,10.369213,10.766441
ENSG00000187840.5,EIF4EBP1,86.8935,86.8946,147.219,118.390659,150.951,166.853
ENSG00000187860.10,CCDC157,11.210721,15.3044537,15.22214,2.237369,1.2889067,1.513446
ENSG00000187954.12,CYHR1,119.445436,124.901549,156.245162,47.758201,54.79387,62.07225
ENSG00000187957.8,DNER,1.58819,1.2313,2.406688,0.321477,0.293474,0.601893
ENSG00000188001.10,TPRG1,2.9776486,2.1522979,3.9561468,1.137215,1.10447482,1.19456901
ENSG00000188010.14,MORN2,107.357185,98.435175,107.004491,29.620436,30.310146,35.727899
ENSG00000188026.13,RILPL1,14.005749,13.440201,16.0675,6.783278,7.2402506,8.794025
ENSG00000188042.8,ARL4C,3.94898,3.502951,3.88348,5.36308,5.06924,5.62233
ENSG00000188050.2,RNF133,0.145389,0,0.140792,0.778561,0.608011,0.330005
ENSG00000188051.7,TMEM221,0.679321,0.671203,1.684771,0.18932,0.27104,0.340303
ENSG00000188064.10,WNT7B,16.8789717,19.789964,19.0701195,9.53615,10.0379728,10.47069757
ENSG00000188070.9,C11orf95,12.23782,14.22601,18.49696,4.844452,4.59003,6.91265
ENSG00000188112.9,C6orf132,3.17011,3.54087,5.13395,13.63058,12.14081,14.00122
ENSG00000188153.13,COL4A5,57.9104871,57.878939,42.7407075,4.325607,5.3486289,6.7313343
ENSG00000188157.15,AGRN,274.542212,285.9960902,424.3029175,80.501702,81.293604,90.2495162
ENSG00000188158.15,NHS,4.233571,5.466692,3.133078,2.020383,1.519942,2.136044
ENSG00000188167.9,TMPPE,1.047947,1.171092,1.018246,1.744306,1.680462,1.399744
ENSG00000188177.14,ZC3H6,6.9235875,6.20952586,6.004132811,1.99826,1.968215006,3.067623269
ENSG00000188186.10,LAMTOR4,267.776193,272.66772,329.50331,115.94865,127.988458,118.047096
ENSG00000188211.8,NCR3LG1,2.72373,2.37248,2.63257,1.27501,0.829692,1.2898892
ENSG00000188227.13,ZNF793,4.404291,5.145508,5.235946,2.103420449,1.330660302,2.5616761
ENSG00000188257.11,PLA2G2A,0.0785183,0.16101,1.82915,3.319934,1.613615,2.893523
ENSG00000188263.10,IL17REL,0.0793921,0.216892,0.846122,1.085976,1.20817,1.978057
ENSG00000188266.14,HYKK,7.617402448,7.123534031,7.752992,3.300915,3.949987,4.796404588
ENSG00000188290.10,HES4,164.73764,187.86358,292.6456,62.15876,69.75703,94.36824
ENSG00000188312.14,CENPP,4.935311,6.459432,3.9145992,12.811877,8.7079835,9.6815969
ENSG00000188316.14,ENO4,2.28949,2.1320497,1.603556,0.2783425,0.1555256,0.0935945
ENSG00000188322.5,SBK1,21.4234,28.014,38.5113,6.69941,8.15315,10.8164
ENSG00000188385.11,JAKMIP3,1.134873,0.969533,1.810449,0.52947,0.420587,0.686221
ENSG00000188419.14,CHM,18.508777,17.888982,16.647084,10.809973,8.371579,10.4537628
ENSG00000188428.20,BLOC1S5,8.958628,9.542068,9.821257,13.242519,12.610047,14.064845
ENSG00000188452.14,CERKL,5.5028976,6.922041,3.91197,2.400955,1.9553773,1.842875
ENSG00000188483.7,IER5L,67.6805,58.1489,94.5857,149.023,152.668,143.405
ENSG00000188486.3,H2AFX,134.0463,142.4456,158.4215,206.8373,264.9336,190.1752
ENSG00000188505.5,NCCRP1,0.025098,0.231153,0.145628,0.342159,0.384679,1.15467
ENSG00000188523.8,CFAP77,0.311499,0.383969,0.3371944,0,0.06254107,0
ENSG00000188559.15,RALGAPA2,8.669347,9.281661,12.583534,4.830716,3.272993,6.466691
ENSG00000188610.12,FAM72B,5.872344,6.808934,4.2420991,8.927872138,10.48843,8.095878
ENSG00000188611.14,ASAH2,1.576101,1.604143,4.212149,6.9019078,2.61745,3.920691
ENSG00000188613.7,NANOS1,8.96552,9.39922,5.37526,2.325974,3.35401,3.78575
ENSG00000188643.11,S100A16,107.400884,111.268469,89.76893,297.83245,332.93263,213.53346
ENSG00000188659.9,SAXO2,6.5301811,8.035343,7.2782373,1.8922611,0.4563216,0.4126982
ENSG00000188677.14,PARVB,2.219309,2.128330149,1.8785574,3.726278,3.215906,4.083339
ENSG00000188738.15,FSIP2,2.3120624,2.4814717,1.843758965,0.62621529,0.7068648,0.606107689
ENSG00000188747.8,NOXA1,33.86168,37.84707,52.35807,16.6341,20.06283,26.79594
ENSG00000188760.10,TMEM198,1.731828,3.129065,2.749746,3.714126,5.2119,4.637846
ENSG00000188786.10,MTF1,6.07355,5.93051,6.135934,3.01528,3.132998,3.533897
ENSG00000188807.13,TMEM201,5.355495,4.157765,6.699405,6.639297,7.956753,7.924771
ENSG00000188833.9,ENTPD8,15.485162,13.510384,24.21445314,2.63818,2.631173,3.146106
ENSG00000188846.13,RPL14,505.987795,552.100066,415.55727,969.207311,918.216189,922.960102
ENSG00000188878.19,FBF1,5.398911,3.957555,7.991298,2.905647,2.303868509,2.7603999
ENSG00000188910.8,GJB3,1.045561,1.175352,0.323014,1.652872,2.534648,1.60871
ENSG00000188938.17,FAM120AOS,166.654081,173.754086,120.1257724,89.1327713,87.613341,83.727164
ENSG00000188959.9,C9orf152,0.490615,0.629246,0.463263,5.77713,5.05473,4.4933
ENSG00000188986.7,NELFB,56.777,67.8701,66.5861,27.2324056,28.00639,27.96984
ENSG00000189001.11,SBSN,0.509818,1.270621,1.093308,1.60165,2.264774,2.50648
ENSG00000189007.16,ADAT2,0.593062,0.6542126,1.297916,4.207706,3.250804,7.5541
ENSG00000189042.13,ZNF567,11.40475,9.714260014,13.1476481,5.36817,3.812494,5.8725166
ENSG00000189057.11,FAM111B,5.443236,3.9042391,4.239387,9.551418,8.987446,6.975489
ENSG00000189058.9,APOD,8.960434,8.032037,11.085074,35.326544,27.158796,36.945377
ENSG00000189060.5,H1F0,93.8234,105.925,208.319,275.587,333.473,364.465
ENSG00000189067.12,LITAF,69.45102,72.758448,108.009584,114.154412,111.183161,168.894691
ENSG00000189120.5,SP6,0.793728,0.640649,1.20016,4.44236,4.64346,4.10647
ENSG00000189139.5,FSCB,0.416464,0.869755,0.279328,0,0,0
ENSG00000189143.9,CLDN4,251.18989,291.6746336,299.559121,454.6859901,508.6061607,438.7955843
ENSG00000189144.13,ZNF573,8.2704705,7.84014,16.68820739,6.8106246,2.932484,2.9596243
ENSG00000189180.15,ZNF33A,19.801407,18.95969,19.103021,8.481929,6.941419,12.383136
ENSG00000189221.9,MAOA,1.5525585,0.855192,1.7732271,1.617547,1.235709,5.20911
ENSG00000189266.13,PNRC2,137.826179,159.15996,146.59365,60.014634,55.73195,59.548548
ENSG00000189283.10,FHIT,1.04774,1.6979886,1.5354508,0.3430359,0.20734814,0.6030005
ENSG00000189308.11,LIN54,6.7184647,4.82576509,6.141611,13.0807848,11.90057642,11.51274011
ENSG00000189334.9,S100A14,100.658837,101.984188,83.924052,188.17983,190.966312,179.34645
ENSG00000189362.12,NEMP2,0.4560285,1.2344771,0.336878,2.24419,0.888551516,1.442547
ENSG00000189366.9,ALG1L,19.1244,21.66133,29.7141,31.6058,34.11259,31.05892
ENSG00000189377.8,CXCL17,1.604549,1.6453944,5.22395,0.368062,0.131748,0.58975446
ENSG00000189403.15,HMGB1,796.21579,797.462826,655.285627,1425.830967,1348.83717,1153.999616
ENSG00000196072.12,BLOC1S2,43.414847,46.893594,39.212793,65.939592,57.091102,49.259048
ENSG00000196081.9,ZNF724,1.653231,1.76362,2.344657,3.323153,3.862651,2.457002
ENSG00000196091.13,MYBPC1,0.26413,0.278577062,0.988038104,1.344163588,0.6599012,1.8635445
ENSG00000196116.8,TDRD7,21.497178,23.258225,35.57209,13.3797856,11.8969,19.066909
ENSG00000196118.12,CCDC189,42.009326,46.548009,47.031573,4.214003,6.15761791,3.029203
ENSG00000196119.7,OR8A1,0.5365787,1.1074107,0.503897738,0.1669732,0.04524839,0.110407
ENSG00000196123.13,KIAA0895L,18.394153,23.862939,24.107885,8.548845,9.801054,13.079805
ENSG00000196126.11,HLA-DRB1,5.65329,5.61182,17.5805,34.6673,35.3338,32.1129
ENSG00000196132.13,MYT1,0.0462707,0.146657,0.1464879,0.2057387,1.1770506,0.424191
ENSG00000196150.13,ZNF250,17.479248,18.2196749,30.33234,10.377189,9.551144,15.048533
ENSG00000196154.12,S100A4,1.605998,3.073624,4.43362,14.103639,19.436191,11.672821
ENSG00000196172.9,ZNF681,3.640534,2.87979,2.880696,1.265816,1.814792,1.923574
ENSG00000196182.10,STK40,30.051203,35.036638,38.08869,10.2369455,7.66871387,10.854171
ENSG00000196187.12,TMEM63A,23.312458,27.970874,40.691781,13.805895,14.584773,20.202667
