gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000175938.7,ORAI3,43.25621,54.110605,84.50531,14.771024,16.83398,24.24756
ENSG00000175970.11,UNC119B,54.41879,57.74304,54.65043,26.39994,28.89315,25.52022
ENSG00000175984.15,DENND2C,5.189511,6.500281,4.941535027,3.141048,2.934305,3.354486
ENSG00000176046.8,NUPR1,16.38393,24.35932,66.7015,5.791062,8.213733,13.93103
ENSG00000176108.9,CHMP6,20.663019,26.326755,25.34796,13.406727,15.542055,11.851481
ENSG00000176125.5,UFSP1,14.2454,13.8803,17.7767,4.39823,7.14286,6.90394
ENSG00000176142.13,TMEM39A,48.305977,40.466026,62.3991727,19.15836,13.680743,23.793272
ENSG00000176170.13,SPHK1,17.82547,21.92128,38.74847,9.358086002,11.916462,17.254913
ENSG00000176222.8,ZNF404,4.70716,5.549917,8.89669,2.240548,2.94561,2.781768
ENSG00000176406.22,RIMS2,0.5716026,0.9184117,0.4036191,0.1065727,0.1245911,0.2209017
ENSG00000176410.7,DNAJC30,18.7315,19.2132,19.4764,7.40198,7.49571,6.22553
ENSG00000176438.12,SYNE3,1.0455028,1.012322,1.785805,0.5136526,0.6565736,0.7895687
ENSG00000176473.13,WDR25,8.74484681,8.054017,9.674125,4.30187,4.023662,5.436649
ENSG00000176531.10,PHLDB3,26.369588,27.57388,30.657473,16.138702,15.456927,15.507635
ENSG00000176533.13,GNG7,1.38721,1.430487,2.345618,0.431124,0.590957,0.314512
ENSG00000176623.12,RMDN1,86.117998,91.975958,67.305407,39.879615,45.151389,45.7698105
ENSG00000176658.17,MYO1D,23.81839,28.972347,19.191936,9.297607,10.363495,9.874518
ENSG00000176697.19,BDNF,0.1670616,0.164382,0.2095528,0.0392143,0.022738601,0.040219201
ENSG00000176700.20,SCAND2P,8.2300313,5.6165141,5.3077,1.7633861,2.752144,3.380617
ENSG00000176714.9,CCDC121,8.309609,8.057083,7.195441,1.5957271,1.89861,1.974147
ENSG00000176720.6,BOK,84.1546,92.7565,109.0006,42.05797,46.7407,44.53477
ENSG00000176732.6,PFN4,1.282427,1.242835,1.766048,0.104884,0.400711,0.0901021
ENSG00000176749.9,CDK5R1,5.321193,4.655854,4.784198,2.43038,2.34116,2.784873
ENSG00000176842.14,IRX5,31.695867,28.5256396,28.5656456,13.277772,12.8930837,13.189673
ENSG00000176887.7,SOX11,5.40024,4.02279,4.19003,1.96374,1.7278,2.09133
ENSG00000176896.8,TCEANC,2.417707,1.942399,1.9579902,0.9479965,1.1027925,1.108543
ENSG00000176903.4,PNMA1,94.969,109.227,93.0367,40.2082,42.5453,36.5585
ENSG00000176978.14,DPP7,369.191207,340.509454,466.272954,172.44354,197.067568,202.43961
ENSG00000176986.16,SEC24C,81.646365,91.279935,90.162225,43.783002,40.2634536,43.2712509
ENSG00000176994.11,SMCR8,6.15965,6.29261,9.02105,3.81898,2.47648,3.63244
ENSG00000177000.12,MTHFR,10.40937663,18.1787944,14.8939306,2.7832285,4.1078534,3.764328032
